Campus;Login_LDAP;Genre;Dernier diplôme obtenu;Etablissement l'année précédente;Note test TP;Note contrôle continu;Moyenne
Rennes;2561;Masculin;DUT Réseaux et télécommunications (BUT en 3 ans);IUT La Rochelle: La Rochelle (17000);15,17;16,28;15,50
Brest;2541;Masculin;DUT reseau télécom ( BUT 2A);;15,25;15,25;15,25
Brest;2551;Féminin;Génie Électrique et Informatique Industriel;IUT Cachan Université Paris-Saclay, Cachan;7,96;13,36;9,58
Brest;2517;Masculin;DUT Réseaux et Télécommunications;IUT Saint-Malo: Saint-Malo (35407);13,52;16,31;14,36
Rennes;2565;Masculin;DUT Réseaux et Télécommunications;IUT des Pays l'Adour - Antenne Mont Marsan: Mont-de-Marsan (40010);16,90;15,12;16,37
Rennes;2575;Féminin;DUT Réseaux & Télécommunications;IUT Saint-Malo: Saint-Malo (35407);16,63;17,60;16,92
Brest;256;Féminin;CPGE intégrée Numérique;ESAIP;12,58;16,31;13,70
Brest;2526;Masculin;DUT Réseaux & Télécoms - Spécialité Cybersécurité;IUT Saint-Malo: Saint-Malo (35407);13,38;13,95;13,55
Brest;2539;Masculin;Bts SNIR;Université de Toulouse 3 - Paul Sabatier: Toulouse (31076);13,75;17,64;14,92
Brest;2549;Masculin;DUT Réseaux et Télécoms;IUT Blagnac: Blagnac (31703);17,31;19,19;17,87
Brest;2542;Masculin;DUT INFORMATIQUE;IUT Lannion;15,21;17,87;16,01
Brest;2531;Masculin;BTS Informatique Industrielle et Réseau;Lycée Baggio, Lille;12,63;19,43;14,67
Rennes;2558;Masculin;Diplôme universitaire technologique en génie électrique et informatique industrielle (en parallèle avec une prépa intégrée);Télécom Saint-Etienne: Saint-Etienne (42013);16,90;17,36;17,04
Brest;2534;Masculin;DUT GEII;IUT BREST;14,90;15,89;15,20
Brest;255;Masculin;DUT Réseaux et Télécommunication;Lycée Jean Moulin (voie générale et technologique): Béziers (34521);13,52;18,39;14,98
Brest;2516;Masculin;CPGE TSI;Lycée et section d'enseignement professionnel Saint-Joseph La Salle: Lorient (56100);6,38;14,08;8,69
Brest;2528;Masculin;DUT mesures physiques;IUT Orsay - Université Paris-Saclay: Orsay (91400);10,46;17,87;12,68
