support_success,pattern,support_failure,ratio
27.0,"[43, 51, 55]",0.0,28.0
27.0,"[29, 26, 17]",0.0,28.0
27.0,"[32, 51, 17]",0.0,28.0
27.0,"[34, 3, 17]",0.0,28.0
27.0,"[32, 42, 0]",0.0,28.0
27.0,"[31, 70, 17]",0.0,28.0
27.0,"[70, 13, 55]",0.0,28.0
27.0,"[3, 48, 49]",0.0,28.0
27.0,"[70, 42, 3]",0.0,28.0
27.0,"[34, 32, 49]",0.0,28.0
27.0,"[3, 29, 56]",0.0,28.0
27.0,"[12, 27, 18]",0.0,28.0
27.0,"[3, 54, 0]",0.0,28.0
27.0,"[58, 17, 54]",0.0,28.0
27.0,"[70, 3, 20]",0.0,28.0
27.0,"[26, 29, 17]",0.0,28.0
27.0,"[17, 0, 13]",0.0,28.0
27.0,"[10, 55, 69]",0.0,28.0
27.0,"[14, 29, 42]",0.0,28.0
27.0,"[8, 70, 51]",0.0,28.0
27.0,"[0, 26, 17]",0.0,28.0
27.0,"[3, 69, 0]",0.0,28.0
27.0,"[51, 13, 3]",0.0,28.0
27.0,"[18, 70, 51]",0.0,28.0
27.0,"[35, 25, 55]",0.0,28.0
27.0,"[55, 70, 70]",0.0,28.0
27.0,"[3, 27, 0]",0.0,28.0
27.0,"[56, 20, 0]",0.0,28.0
27.0,"[17, 69, 35]",0.0,28.0
27.0,"[14, 3, 54]",0.0,28.0
27.0,"[3, 7, 69]",0.0,28.0
27.0,"[8, 42, 48]",0.0,28.0
27.0,"[0, 69, 35]",0.0,28.0
27.0,"[3, 17, 48]",0.0,28.0
27.0,"[49, 55, 69]",0.0,28.0
27.0,"[3, 0, 6]",0.0,28.0
27.0,"[43, 35, 17]",0.0,28.0
27.0,"[12, 14, 14]",0.0,28.0
27.0,"[31, 17, 17]",0.0,28.0
27.0,"[43, 54, 55]",0.0,28.0
27.0,"[0, 42, 69]",0.0,28.0
27.0,"[14, 17, 42]",0.0,28.0
27.0,"[13, 3, 55]",0.0,28.0
27.0,"[70, 53, 55]",0.0,28.0
27.0,"[34, 17, 3]",0.0,28.0
27.0,"[43, 55, 69]",0.0,28.0
27.0,"[32, 12, 69]",0.0,28.0
27.0,"[43, 55, 70]",0.0,28.0
27.0,"[42, 12, 49]",0.0,28.0
27.0,"[12, 7, 0]",0.0,28.0
27.0,"[14, 35, 20]",0.0,28.0
27.0,"[4, 25, 29]",0.0,28.0
26.0,"[3, 17, 25]",0.0,27.0
26.0,"[4, 6, 69]",0.0,27.0
26.0,"[3, 0, 25]",0.0,27.0
26.0,"[27, 18, 17]",0.0,27.0
26.0,"[3, 29, 7]",0.0,27.0
26.0,"[3, 0, 28]",0.0,27.0
26.0,"[14, 58, 37]",0.0,27.0
26.0,"[55, 70, 69]",0.0,27.0
26.0,"[29, 32, 17]",0.0,27.0
26.0,"[34, 3, 48]",0.0,27.0
26.0,"[18, 0, 51]",0.0,27.0
26.0,"[16, 35, 17]",0.0,27.0
26.0,"[3, 29, 4]",0.0,27.0
26.0,"[56, 55, 69]",0.0,27.0
26.0,"[31, 70, 29]",0.0,27.0
26.0,"[26, 55, 69]",0.0,27.0
26.0,"[18, 42, 48]",0.0,27.0
26.0,"[43, 27, 55]",0.0,27.0
26.0,"[29, 42, 69]",0.0,27.0
26.0,"[8, 6, 42]",0.0,27.0
26.0,"[17, 42, 48]",0.0,27.0
26.0,"[6, 42, 70]",0.0,27.0
26.0,"[18, 70, 3]",0.0,27.0
26.0,"[34, 3, 25]",0.0,27.0
26.0,"[32, 53, 48]",0.0,27.0
26.0,"[7, 25, 17]",0.0,27.0
26.0,"[0, 29, 32]",0.0,27.0
26.0,"[3, 20, 17]",0.0,27.0
26.0,"[31, 25, 70]",0.0,27.0
26.0,"[3, 29, 55]",0.0,27.0
26.0,"[4, 0, 69]",0.0,27.0
26.0,"[8, 54, 27]",0.0,27.0
26.0,"[35, 20, 25]",0.0,27.0
26.0,"[6, 26, 17]",0.0,27.0
26.0,"[17, 70, 51]",0.0,27.0
26.0,"[16, 27, 49]",0.0,27.0
26.0,"[17, 7, 0]",0.0,27.0
26.0,"[3, 69, 54]",0.0,27.0
26.0,"[14, 3, 28]",0.0,27.0
26.0,"[8, 42, 17]",0.0,27.0
26.0,"[27, 70, 51]",0.0,27.0
26.0,"[3, 55, 70]",0.0,27.0
26.0,"[70, 51, 55]",0.0,27.0
26.0,"[14, 8, 42]",0.0,27.0
26.0,"[27, 20, 49]",0.0,27.0
26.0,"[35, 0, 27]",0.0,27.0
26.0,"[3, 69, 27]",0.0,27.0
26.0,"[14, 3, 33]",0.0,27.0
26.0,"[31, 54, 17]",0.0,27.0
26.0,"[16, 17, 49]",0.0,27.0
26.0,"[4, 33, 29]",0.0,27.0
26.0,"[8, 42, 29]",0.0,27.0
26.0,"[27, 26, 17]",0.0,27.0
26.0,"[35, 17, 49]",0.0,27.0
26.0,"[35, 17, 54]",0.0,27.0
26.0,"[58, 29, 48]",0.0,27.0
26.0,"[27, 42, 69]",0.0,27.0
26.0,"[4, 48, 49]",0.0,27.0
26.0,"[34, 34, 49]",0.0,27.0
26.0,"[34, 3, 6]",0.0,27.0
26.0,"[34, 32, 3]",0.0,27.0
26.0,"[32, 13, 69]",0.0,27.0
26.0,"[32, 42, 6]",0.0,27.0
26.0,"[27, 69, 4]",0.0,27.0
26.0,"[4, 17, 0]",0.0,27.0
26.0,"[34, 32, 55]",0.0,27.0
26.0,"[29, 17, 20]",0.0,27.0
26.0,"[0, 70, 51]",0.0,27.0
26.0,"[4, 48, 69]",0.0,27.0
26.0,"[70, 3, 37]",0.0,27.0
26.0,"[31, 0, 17]",0.0,27.0
26.0,"[58, 20, 48]",0.0,27.0
26.0,"[4, 17, 17]",0.0,27.0
26.0,"[14, 27, 42]",0.0,27.0
26.0,"[35, 29, 27]",0.0,27.0
26.0,"[27, 18, 70]",0.0,27.0
26.0,"[32, 42, 42]",0.0,27.0
26.0,"[3, 4, 69]",0.0,27.0
26.0,"[0, 42, 48]",0.0,27.0
25.0,"[33, 34, 49]",0.0,26.0
25.0,"[0, 69, 58]",0.0,26.0
25.0,"[0, 69, 4]",0.0,26.0
25.0,"[54, 26, 69]",0.0,26.0
25.0,"[14, 3, 58]",0.0,26.0
25.0,"[27, 7, 0]",0.0,26.0
25.0,"[18, 7, 0]",0.0,26.0
25.0,"[34, 3, 69]",0.0,26.0
25.0,"[43, 3, 70]",0.0,26.0
25.0,"[35, 55, 69]",0.0,26.0
25.0,"[14, 58, 26]",0.0,26.0
25.0,"[67, 0]",0.0,26.0
25.0,"[27, 0, 18]",0.0,26.0
25.0,"[69, 67, 29]",0.0,26.0
25.0,"[4, 69, 29]",0.0,26.0
25.0,"[14, 42, 42]",0.0,26.0
25.0,"[4, 17, 69]",0.0,26.0
25.0,"[4, 25, 49]",0.0,26.0
25.0,"[69, 67, 51]",0.0,26.0
25.0,"[69, 67, 54]",0.0,26.0
25.0,"[14, 49, 0]",0.0,26.0
25.0,"[8, 42, 25]",0.0,26.0
25.0,"[31, 6, 17]",0.0,26.0
25.0,"[69, 67, 69]",0.0,26.0
25.0,"[69, 67, 70]",0.0,26.0
25.0,"[69, 67]",0.0,26.0
25.0,"[8, 12, 69]",0.0,26.0
25.0,"[70, 7, 0]",0.0,26.0
25.0,"[43, 33, 55]",0.0,26.0
25.0,"[35, 34, 27]",0.0,26.0
25.0,"[20, 18, 54]",0.0,26.0
25.0,"[0, 3, 26]",0.0,26.0
25.0,"[16, 35, 0]",0.0,26.0
25.0,"[4, 35, 69]",0.0,26.0
25.0,"[27, 12, 69]",0.0,26.0
25.0,"[34, 6, 20]",0.0,26.0
25.0,"[4, 48, 17]",0.0,26.0
25.0,"[70, 42, 55]",0.0,26.0
25.0,"[70, 31, 54]",0.0,26.0
25.0,"[29, 29, 26]",0.0,26.0
25.0,"[28, 32, 55]",0.0,26.0
25.0,"[69, 67, 17]",0.0,26.0
25.0,"[43, 49, 17]",0.0,26.0
25.0,"[31, 29, 29]",0.0,26.0
25.0,"[31, 70, 0]",0.0,26.0
25.0,"[70, 12, 49]",0.0,26.0
25.0,"[70, 12, 6]",0.0,26.0
25.0,"[70, 12, 8]",0.0,26.0
25.0,"[4, 54, 29]",0.0,26.0
25.0,"[34, 6, 37]",0.0,26.0
25.0,"[4, 35, 29]",0.0,26.0
25.0,"[18, 70, 13]",0.0,26.0
25.0,"[35, 20, 0]",0.0,26.0
25.0,"[35, 29, 55]",0.0,26.0
25.0,"[16, 49, 17]",0.0,26.0
25.0,"[0, 29, 51]",0.0,26.0
25.0,"[35, 27, 0]",0.0,26.0
25.0,"[35, 20, 69]",0.0,26.0
25.0,"[35, 20, 54]",0.0,26.0
25.0,"[7, 28, 69]",0.0,26.0
25.0,"[10, 37, 69]",0.0,26.0
25.0,"[7, 33, 69]",0.0,26.0
25.0,"[4, 35, 17]",0.0,26.0
25.0,"[35, 17, 55]",0.0,26.0
25.0,"[7, 35, 29]",0.0,26.0
25.0,"[14, 20, 55]",0.0,26.0
25.0,"[35, 17, 25]",0.0,26.0
25.0,"[43, 58, 17]",0.0,26.0
25.0,"[14, 20, 20]",0.0,26.0
25.0,"[7, 48, 69]",0.0,26.0
25.0,"[70, 58, 26]",0.0,26.0
25.0,"[14, 58, 27]",0.0,26.0
25.0,"[69, 67, 0]",0.0,26.0
25.0,"[3, 25, 55]",0.0,26.0
25.0,"[68, 29, 17]",0.0,26.0
25.0,"[3, 29, 49]",0.0,26.0
25.0,"[31, 17, 54]",0.0,26.0
25.0,"[3, 29, 37]",0.0,26.0
25.0,"[56, 49, 69]",0.0,26.0
25.0,"[58, 20, 0]",0.0,26.0
25.0,"[9, 25, 17]",0.0,26.0
25.0,"[58, 20, 25]",0.0,26.0
25.0,"[31, 48, 29]",0.0,26.0
25.0,"[3, 26]",0.0,26.0
25.0,"[68, 17, 17]",0.0,26.0
25.0,"[67, 69, 0]",0.0,26.0
25.0,"[69, 3, 26]",0.0,26.0
25.0,"[31, 48, 54]",0.0,26.0
25.0,"[67, 69, 17]",0.0,26.0
25.0,"[67, 54]",0.0,26.0
25.0,"[32, 69, 3]",0.0,26.0
25.0,"[67, 69, 29]",0.0,26.0
25.0,"[56, 20, 49]",0.0,26.0
25.0,"[67, 51, 17]",0.0,26.0
25.0,"[3, 4, 0]",0.0,26.0
25.0,"[32, 3, 26]",0.0,26.0
25.0,"[58, 17, 55]",0.0,26.0
25.0,"[3, 69, 6]",0.0,26.0
25.0,"[68, 53, 17]",0.0,26.0
25.0,"[67, 54, 70]",0.0,26.0
25.0,"[67, 17, 17]",0.0,26.0
25.0,"[12, 7, 20]",0.0,26.0
25.0,"[42, 3, 26]",0.0,26.0
25.0,"[68, 53, 6]",0.0,26.0
25.0,"[31, 25, 17]",0.0,26.0
25.0,"[67, 51]",0.0,26.0
25.0,"[32, 53, 69]",0.0,26.0
25.0,"[58, 0, 27]",0.0,26.0
25.0,"[67, 51, 70]",0.0,26.0
25.0,"[12, 35, 51]",0.0,26.0
25.0,"[3, 37, 17]",0.0,26.0
25.0,"[58, 17, 27]",0.0,26.0
25.0,"[31, 25, 48]",0.0,26.0
25.0,"[58, 17, 49]",0.0,26.0
25.0,"[67, 69, 54]",0.0,26.0
25.0,"[6, 42, 69]",0.0,26.0
25.0,"[3, 10, 0]",0.0,26.0
25.0,"[67, 70, 54]",0.0,26.0
25.0,"[12, 3, 26]",0.0,26.0
25.0,"[3, 56, 0]",0.0,26.0
25.0,"[67, 29, 17]",0.0,26.0
25.0,"[26, 69, 48]",0.0,26.0
25.0,"[9, 70, 0]",0.0,26.0
25.0,"[67, 29, 70]",0.0,26.0
25.0,"[67, 70]",0.0,26.0
25.0,"[55, 70, 17]",0.0,26.0
25.0,"[14, 58, 55]",0.0,26.0
25.0,"[67, 29]",0.0,26.0
25.0,"[16, 58, 17]",0.0,26.0
25.0,"[13, 32, 13]",0.0,26.0
25.0,"[18, 29, 32]",0.0,26.0
25.0,"[67, 17]",0.0,26.0
25.0,"[3, 17, 55]",0.0,26.0
25.0,"[67, 17, 70]",0.0,26.0
25.0,"[31, 48, 17]",0.0,26.0
25.0,"[17, 20, 49]",0.0,26.0
25.0,[67],0.0,26.0
25.0,"[31, 54, 29]",0.0,26.0
25.0,"[0, 12, 69]",0.0,26.0
25.0,"[58, 37, 29]",0.0,26.0
25.0,"[8, 7, 0]",0.0,26.0
25.0,"[32, 13, 48]",0.0,26.0
25.0,"[17, 69, 4]",0.0,26.0
25.0,"[3, 49, 55]",0.0,26.0
25.0,"[67, 69]",0.0,26.0
25.0,"[67, 69, 70]",0.0,26.0
24.0,"[58, 55, 69]",0.0,25.0
24.0,"[67, 69, 69]",0.0,25.0
24.0,"[28, 0, 35]",0.0,25.0
24.0,"[67, 70, 70]",0.0,25.0
24.0,"[67, 17, 0]",0.0,25.0
24.0,"[70, 55, 48]",0.0,25.0
24.0,"[70, 63, 70]",0.0,25.0
24.0,"[20, 58, 17]",0.0,25.0
24.0,"[0, 70, 8]",0.0,25.0
24.0,"[51, 3, 26]",0.0,25.0
24.0,"[70, 63]",0.0,25.0
24.0,"[32, 32, 55]",0.0,25.0
24.0,"[32, 31, 58]",0.0,25.0
24.0,"[16, 20, 49]",0.0,25.0
24.0,"[35, 17, 28]",0.0,25.0
24.0,"[31, 34, 54]",0.0,25.0
24.0,"[17, 26, 0]",0.0,25.0
24.0,"[35, 0, 55]",0.0,25.0
24.0,"[35, 0, 49]",0.0,25.0
24.0,"[67, 69, 27]",0.0,25.0
24.0,"[28, 3, 70]",0.0,25.0
24.0,"[16, 17, 55]",0.0,25.0
24.0,"[13, 16, 3]",0.0,25.0
24.0,"[18, 26, 69]",0.0,25.0
24.0,"[17, 26, 69]",0.0,25.0
24.0,"[17, 37, 26]",0.0,25.0
24.0,"[35, 20, 28]",0.0,25.0
24.0,"[67, 70, 0]",0.0,25.0
24.0,"[51, 12, 49]",0.0,25.0
24.0,"[3, 69, 34]",0.0,25.0
24.0,"[58, 56, 17]",0.0,25.0
24.0,"[13, 16, 55]",0.0,25.0
24.0,"[14, 18, 42]",0.0,25.0
24.0,"[69, 67, 12]",0.0,25.0
24.0,"[31, 35, 29]",0.0,25.0
24.0,"[20, 58, 29]",0.0,25.0
24.0,"[67, 32, 54]",0.0,25.0
24.0,"[67, 32, 0]",0.0,25.0
24.0,"[67, 32, 17]",0.0,25.0
24.0,"[37, 26, 55]",0.0,25.0
24.0,"[17, 7, 20]",0.0,25.0
24.0,"[67, 32, 29]",0.0,25.0
24.0,"[8, 25, 32]",0.0,25.0
24.0,"[0, 58, 26]",0.0,25.0
24.0,"[67, 29, 54]",0.0,25.0
24.0,"[31, 58, 70]",0.0,25.0
24.0,"[31, 58]",0.0,25.0
24.0,"[31, 35, 54]",0.0,25.0
24.0,"[67, 32, 70]",0.0,25.0
24.0,"[67, 32]",0.0,25.0
24.0,"[17, 3, 42]",0.0,25.0
24.0,"[32, 20, 55]",0.0,25.0
24.0,"[37, 4, 69]",0.0,25.0
24.0,"[67, 17, 29]",0.0,25.0
24.0,"[67, 27]",0.0,25.0
24.0,"[6, 32, 17]",0.0,25.0
24.0,"[67, 27, 0]",0.0,25.0
24.0,"[67, 27, 17]",0.0,25.0
24.0,"[67, 27, 54]",0.0,25.0
24.0,"[67, 27, 70]",0.0,25.0
24.0,"[27, 35, 26]",0.0,25.0
24.0,"[31, 58, 29]",0.0,25.0
24.0,"[14, 35, 55]",0.0,25.0
24.0,"[48, 29, 49]",0.0,25.0
24.0,"[27, 42, 48]",0.0,25.0
24.0,"[67, 29, 48]",0.0,25.0
24.0,"[18, 12, 69]",0.0,25.0
24.0,"[37, 50, 69]",0.0,25.0
24.0,"[48, 35, 17]",0.0,25.0
24.0,"[35, 58, 26]",0.0,25.0
24.0,"[17, 3, 26]",0.0,25.0
24.0,"[32, 13, 17]",0.0,25.0
24.0,"[35, 37, 69]",0.0,25.0
24.0,"[16, 0, 3]",0.0,25.0
24.0,"[31, 6, 25]",0.0,25.0
24.0,"[3, 70, 26]",0.0,25.0
24.0,"[67, 51, 54]",0.0,25.0
24.0,"[67, 51, 69]",0.0,25.0
24.0,"[13, 3, 20]",0.0,25.0
24.0,"[18, 20, 27]",0.0,25.0
24.0,"[35, 56, 17]",0.0,25.0
24.0,"[31, 6, 29]",0.0,25.0
24.0,"[13, 26, 49]",0.0,25.0
24.0,"[27, 7, 20]",0.0,25.0
24.0,"[32, 3, 42]",0.0,25.0
24.0,"[35, 34, 55]",0.0,25.0
24.0,"[32, 12, 48]",0.0,25.0
24.0,"[35, 49, 69]",0.0,25.0
24.0,"[67, 51, 29]",0.0,25.0
24.0,"[27, 6, 51]",0.0,25.0
24.0,"[67, 51, 0]",0.0,25.0
24.0,"[67, 48]",0.0,25.0
24.0,"[67, 48, 70]",0.0,25.0
24.0,"[14, 3, 34]",0.0,25.0
24.0,"[6, 0, 27]",0.0,25.0
24.0,"[14, 3, 35]",0.0,25.0
24.0,"[67, 42]",0.0,25.0
24.0,"[67, 42, 70]",0.0,25.0
24.0,"[67, 42, 69]",0.0,25.0
24.0,"[67, 42, 54]",0.0,25.0
24.0,"[31, 0, 0]",0.0,25.0
24.0,"[67, 42, 29]",0.0,25.0
24.0,"[67, 42, 17]",0.0,25.0
24.0,"[67, 42, 0]",0.0,25.0
24.0,"[70, 55, 20]",0.0,25.0
24.0,"[58, 34, 27]",0.0,25.0
24.0,"[32, 35, 51]",0.0,25.0
24.0,"[7, 35, 69]",0.0,25.0
24.0,"[3, 20, 54]",0.0,25.0
24.0,"[31, 27, 54]",0.0,25.0
24.0,"[3, 20, 69]",0.0,25.0
24.0,"[12, 12, 55]",0.0,25.0
24.0,"[32, 7, 20]",0.0,25.0
24.0,"[32, 69, 7]",0.0,25.0
24.0,"[67, 0, 17]",0.0,25.0
24.0,"[7, 29, 17]",0.0,25.0
24.0,"[69, 3, 42]",0.0,25.0
24.0,"[7, 29, 69]",0.0,25.0
24.0,"[56, 29, 49]",0.0,25.0
24.0,"[7, 35, 0]",0.0,25.0
24.0,"[29, 42, 48]",0.0,25.0
24.0,"[56, 29, 55]",0.0,25.0
24.0,"[31, 25, 54]",0.0,25.0
24.0,"[13, 3, 37]",0.0,25.0
24.0,"[12, 6, 51]",0.0,25.0
24.0,"[56, 37, 69]",0.0,25.0
24.0,"[16, 3]",0.0,25.0
24.0,"[69, 16, 3]",0.0,25.0
24.0,"[3, 27, 69]",0.0,25.0
24.0,"[16, 35, 49]",0.0,25.0
24.0,"[16, 70, 3]",0.0,25.0
24.0,"[68, 8, 4]",0.0,25.0
24.0,"[17, 42, 17]",0.0,25.0
24.0,"[67, 12, 42]",0.0,25.0
24.0,"[34, 18, 3]",0.0,25.0
24.0,"[18, 42, 54]",0.0,25.0
24.0,"[68, 6, 17]",0.0,25.0
24.0,"[29, 3, 70]",0.0,25.0
24.0,"[69, 31, 58]",0.0,25.0
24.0,"[67, 0, 29]",0.0,25.0
24.0,"[7, 17, 69]",0.0,25.0
24.0,"[3, 20, 48]",0.0,25.0
24.0,"[33, 26, 55]",0.0,25.0
24.0,"[18, 6, 42]",0.0,25.0
24.0,"[16, 58, 0]",0.0,25.0
24.0,"[69, 67, 27]",0.0,25.0
24.0,"[69, 63]",0.0,25.0
24.0,"[69, 67, 32]",0.0,25.0
24.0,"[54, 56, 17]",0.0,25.0
24.0,"[69, 63, 70]",0.0,25.0
24.0,"[69, 67, 42]",0.0,25.0
24.0,"[69, 67, 48]",0.0,25.0
24.0,"[55, 20]",0.0,25.0
24.0,"[55, 29, 70]",0.0,25.0
24.0,"[55, 48]",0.0,25.0
24.0,"[55, 69, 70]",0.0,25.0
24.0,"[33, 3, 70]",0.0,25.0
24.0,"[54, 4, 69]",0.0,25.0
24.0,"[33, 32, 55]",0.0,25.0
24.0,"[3, 17, 28]",0.0,25.0
24.0,"[33, 34, 55]",0.0,25.0
24.0,"[33, 35, 0]",0.0,25.0
24.0,"[69, 69, 63]",0.0,25.0
24.0,"[69, 70, 63]",0.0,25.0
24.0,"[7, 0, 29]",0.0,25.0
24.0,"[3, 17, 49]",0.0,25.0
24.0,"[17, 42, 29]",0.0,25.0
24.0,"[7, 0, 69]",0.0,25.0
24.0,"[29, 58, 56]",0.0,25.0
24.0,"[33, 0, 35]",0.0,25.0
24.0,"[7, 17, 17]",0.0,25.0
24.0,"[67, 12, 54]",0.0,25.0
24.0,"[53, 26, 49]",0.0,25.0
24.0,"[18, 42, 29]",0.0,25.0
24.0,"[3, 4, 25]",0.0,25.0
24.0,"[3, 4, 33]",0.0,25.0
24.0,"[58, 20, 54]",0.0,25.0
24.0,"[58, 20, 69]",0.0,25.0
24.0,"[28, 8, 55]",0.0,25.0
24.0,"[3, 4, 54]",0.0,25.0
24.0,"[58, 25, 55]",0.0,25.0
24.0,"[20, 33, 17]",0.0,25.0
24.0,"[28, 6, 37]",0.0,25.0
24.0,"[70, 35, 51]",0.0,25.0
24.0,"[3, 42]",0.0,25.0
24.0,"[3, 48, 25]",0.0,25.0
24.0,"[31, 33, 54]",0.0,25.0
24.0,"[58, 29, 27]",0.0,25.0
24.0,"[70, 42, 50]",0.0,25.0
24.0,"[32, 42, 27]",0.0,25.0
24.0,"[32, 42, 20]",0.0,25.0
24.0,"[17, 17, 42]",0.0,25.0
24.0,"[29, 69, 20]",0.0,25.0
24.0,"[51, 35, 51]",0.0,25.0
24.0,"[17, 17, 7]",0.0,25.0
24.0,"[3, 54, 48]",0.0,25.0
24.0,"[12, 3, 42]",0.0,25.0
24.0,"[3, 54, 55]",0.0,25.0
24.0,"[70, 51, 3]",0.0,25.0
24.0,"[3, 55, 69]",0.0,25.0
24.0,"[28, 35, 0]",0.0,25.0
24.0,"[70, 53, 26]",0.0,25.0
24.0,"[28, 34, 49]",0.0,25.0
24.0,"[34, 8, 3]",0.0,25.0
24.0,"[3, 4, 28]",0.0,25.0
24.0,"[12, 26, 49]",0.0,25.0
24.0,"[18, 42, 25]",0.0,25.0
24.0,"[16, 3, 48]",0.0,25.0
24.0,"[34, 29, 7]",0.0,25.0
24.0,"[12, 17, 18]",0.0,25.0
24.0,"[34, 3, 0]",0.0,25.0
24.0,"[18, 42, 17]",0.0,25.0
24.0,"[53, 14, 51]",0.0,25.0
24.0,"[20, 20, 25]",0.0,25.0
24.0,"[67, 12, 70]",0.0,25.0
24.0,"[56, 69, 55]",0.0,25.0
24.0,"[70, 12, 20]",0.0,25.0
24.0,"[34, 3, 33]",0.0,25.0
24.0,"[32, 53, 29]",0.0,25.0
24.0,"[67, 12]",0.0,25.0
24.0,"[10, 42, 48]",0.0,25.0
24.0,"[16, 32, 55]",0.0,25.0
24.0,"[31, 25, 29]",0.0,25.0
